ts,gpu_busy_pct,foreign_chromium_n,foreign_chromium_cpu_pct,my_chromium_n,my_chromium_cpu_pct,load1
10:45:56,99,15,3.0,0,0.0,4.33
10:45:57,0,15,0.0,0,0.0,4.33
10:45:58,0,15,4.0,0,0.0,4.23
10:45:59,23,15,3.0,0,0.0,4.23
10:46:00,100,15,43.7,0,0.0,4.23
10:46:01,0,15,44.6,0,0.0,4.23
10:46:02,0,15,26.8,0,0.0,4.23
10:46:03,0,15,25.9,0,0.0,4.45
10:46:04,90,15,35.8,0,0.0,4.45
10:46:05,0,15,46.7,0,0.0,4.45
10:46:06,0,15,22.8,0,0.0,4.45
10:46:07,0,16,69.6,0,0.0,4.45
10:46:08,0,16,108.3,0,0.0,4.33
10:46:09,0,16,105.4,0,0.0,4.33
10:46:10,0,16,125.2,0,0.0,4.33
10:46:11,0,16,115.2,0,0.0,4.33
10:46:12,0,22,119.2,0,0.0,4.33
10:46:13,0,22,111.2,0,0.0,4.39
10:46:14,0,22,108.2,0,0.0,4.39
10:46:15,0,16,-81.4,0,0.0,4.39
10:46:16,0,10,-63.6,0,0.0,4.39
10:46:17,0,16,122.2,0,0.0,4.39
10:46:18,99,16,104.3,0,0.0,4.44
10:46:19,99,16,114.2,0,0.0,4.44
10:46:20,0,16,114.1,0,0.0,4.44
10:46:21,0,16,132.0,0,0.0,4.44
10:46:22,0,16,115.2,0,0.0,4.44
10:46:23,0,16,133.2,0,0.0,4.40
10:46:24,0,16,149.1,0,0.0,4.40
10:46:25,0,22,222.5,0,0.0,4.40
10:46:26,0,22,208.7,0,0.0,4.40
10:46:27,0,22,194.7,0,0.0,4.40
10:46:28,0,22,7.0,0,0.0,4.45
10:46:29,0,22,232.0,0,0.0,4.45
10:46:30,0,22,200.6,0,0.0,4.45
10:46:31,0,22,175.6,0,0.0,4.45
10:46:32,0,22,213.3,0,0.0,4.57
10:46:33,0,22,163.8,0,0.0,4.57
10:46:34,0,22,87.5,0,0.0,4.57
10:46:35,0,22,268.3,0,0.0,4.57
10:46:36,0,22,165.7,0,0.0,4.57
10:46:37,0,22,174.9,0,0.0,4.61
10:46:38,0,22,112.2,0,0.0,4.61
10:46:39,99,22,99.4,0,0.0,4.61
10:46:40,20,22,298.0,0,0.0,4.61
10:46:41,53,22,237.4,0,0.0,4.61
10:46:42,0,22,127.2,0,0.0,4.48
10:46:43,0,17,81.4,0,0.0,4.48
10:46:44,100,22,272.2,0,0.0,4.48
10:46:45,0,22,165.8,0,0.0,4.48
10:46:46,34,22,210.7,0,0.0,4.48
10:46:47,0,22,212.6,0,0.0,4.52
10:46:48,0,22,23.8,0,0.0,4.52
10:46:49,99,22,258.3,0,0.0,4.52
10:46:50,32,22,238.3,0,0.0,4.52
10:46:51,0,22,143.1,0,0.0,4.52
10:46:52,0,22,218.7,0,0.0,5.04
10:46:53,0,16,69.5,0,0.0,5.04
10:46:54,0,10,-67.6,0,0.0,5.04
10:46:55,0,10,210.7,0,0.0,5.04
10:46:56,0,10,175.0,0,0.0,5.04
10:46:57,0,16,215.4,0,0.0,5.20
10:46:58,0,16,258.2,0,0.0,5.20
10:46:59,0,16,163.7,0,0.0,5.20
10:47:00,0,16,167.9,0,0.0,5.20
10:47:01,0,16,218.4,0,0.0,5.20
10:47:02,0,16,149.0,0,0.0,5.02
10:47:03,19,16,183.9,0,0.0,5.02
10:47:04,100,16,237.5,0,0.0,5.02
10:47:05,0,16,140.0,0,0.0,5.02
10:47:06,31,14,-5766.4,0,0.0,5.02
10:47:07,0,14,141.9,0,0.0,5.26
10:47:09,0,20,38.7,0,0.0,5.26
10:47:10,0,20,67.6,0,0.0,5.26
10:47:11,0,20,48.7,0,0.0,5.26
10:47:12,0,20,4.0,0,0.0,5.26
10:47:13,0,20,8.9,0,0.0,5.00
10:47:14,0,14,-181.9,0,0.0,5.00
10:47:15,0,14,41.8,0,0.0,5.00
10:47:16,0,20,90.2,0,0.0,5.00
10:47:17,0,20,66.6,0,0.0,5.00
10:47:18,0,20,42.8,0,0.0,4.76
10:47:19,6,20,12.9,0,0.0,4.76
10:47:20,99,20,34.8,0,0.0,4.76
10:47:21,0,20,39.8,0,0.0,4.76
10:47:22,0,20,31.8,0,0.0,4.76
10:47:23,0,20,73.5,0,0.0,4.70
10:47:24,0,20,123.3,0,0.0,4.70
10:47:25,0,20,121.1,0,0.0,4.70
10:47:26,0,20,114.2,0,0.0,4.70
10:47:27,82,20,102.2,0,0.0,4.70
10:47:28,0,20,104.1,0,0.0,4.88
10:47:29,0,20,-159.1,0,0.0,4.88
10:47:30,0,20,119.2,0,0.0,4.88
10:47:31,100,20,124.2,0,0.0,4.88
10:47:32,0,20,64.5,0,0.0,4.88
10:47:33,47,20,93.5,0,0.0,4.81
10:47:34,0,20,120.3,0,0.0,4.81
10:47:35,99,20,-31.8,0,0.0,4.81
10:47:36,0,20,153.9,0,0.0,4.81
10:47:37,0,20,58.5,0,0.0,4.81
10:47:38,0,20,118.1,0,0.0,4.83
10:47:39,0,20,127.2,0,0.0,4.83
10:47:40,0,20,46.7,0,0.0,4.83
10:47:41,19,20,127.1,0,0.0,4.83
10:47:42,0,20,118.2,0,0.0,4.83
10:47:43,0,20,13.9,0,0.0,4.60
10:47:44,0,20,114.3,0,0.0,4.60
10:47:45,0,20,129.1,0,0.0,4.60
10:47:46,0,20,59.7,0,0.0,4.60
10:47:47,28,20,-156.9,0,0.0,4.60
10:47:48,0,20,110.3,0,0.0,4.63
10:47:49,0,20,103.2,0,0.0,4.63
10:47:50,99,20,68.6,0,0.0,4.63
10:47:51,32,20,123.1,0,0.0,4.63
10:47:52,0,20,62.6,0,0.0,4.63
10:47:53,0,20,15.9,0,0.0,4.58
10:47:54,0,20,-192.6,0,0.0,4.58
10:47:55,0,20,98.3,0,0.0,4.58
10:47:56,42,20,63.6,0,0.0,4.58
10:47:57,0,20,143.9,0,0.0,4.58
10:47:58,0,20,122.3,0,0.0,4.77
10:47:59,0,20,130.1,0,0.0,4.77
10:48:00,0,20,88.5,0,0.0,4.77
10:48:01,0,20,60.7,0,0.0,4.77
10:48:02,0,20,150.1,0,0.0,4.77
10:48:03,50,20,125.3,0,0.0,4.71
10:48:04,24,20,120.3,0,0.0,4.71
10:48:05,0,20,68.6,0,0.0,4.71
10:48:06,100,20,-124.3,0,0.0,4.71
10:48:07,0,20,137.2,0,0.0,4.71
10:48:08,96,20,119.0,0,0.0,4.74
10:48:09,0,20,117.2,0,0.0,4.74
10:48:10,0,20,84.4,0,0.0,4.74
10:48:11,0,20,104.7,0,0.0,4.74
10:48:12,0,20,135.2,0,0.0,4.74
10:48:13,99,20,49.6,0,0.0,4.52
10:48:14,0,20,99.4,0,0.0,4.52
10:48:15,100,20,118.1,0,0.0,4.52
